2;1;nächtlich;3
17;1;hell;3
2;1;mystisch;3
1;2;melanchonisch;3
3;2;verregnet;3
1;2;trauernd;3
1;2;zurückgezogen;3
1;4;beendet;1
7;4;idyllisch;3
2;4;weit;2
1;4;einladend;3
1;4;ländlich;2
1;5;naturbelassen;2
3;5;herbstlich;3
1;5;tröstlich;3
1;5;eng;2
1;6;fruchtig;2
1;6;reich;2
1;6;tropisch;3
1;6;wertvoll;2
1;7;naturbelassen;2
2;7;idyllisch;3
6;7;warm;3
1;7;genügsam;3
2;7;isoliert;2
8;7;zweisamkeit;2
1;8;verregnet;3
3;8;magisch;3
1;8;verloren;3
2;8;vergessen;3
1;8;unsehnlich;1
6;9;zweisamkeit;3
8;9;regnerisch;3
3;9;natürlich;3
5;9;idyllisch;3
2;9;gemeinsam;3
4;10;zweisamkeit;2
21;10;herbstlich;3
1;10;naturbelassen;2
1;10;verloren;3
1;10;suchend;2
1;11;schneebedeckt;2
2;11;idyllisch;3
1;11;vergessen;3
16;11;ruhig;3
4;11;allein;3
2;11;einsamkeit;3
2;12;orientalisch;3
3;12;traditionell;2
1;12;melanchonisch;3
5;12;nachdenklich;3
6;12;einsam;3
2;12;traumhaft;2
2;13;kahl;2
1;13;ziellos;3
8;13;verloren;3
1;13;verfehlt;1
6;14;modern;3
3;14;futuristisch;3
12;14;kühl;3
1;14;technologisch;2
1;14;abgeschottet;3
2;14;verloren;3
27;14;kalt;3
3;15;nächtlich;3
3;15;ruhe;3
1;15;bewegend;3
1;15;malerisch;3
1;15;sehnsucht;3
1;16;orientalisch;2
1;16;nächtlich;3
2;16;verlassen;3
1;16;isoliert;3
1;16;poetisch;2
2;17;idyllisch;3
17;17;warm;3
2;17;erfreut;3
1;17;wandelnd;2
1;17;poetisch;2
1;18;leuchtend;2
1;18;dämmernd;2
1;18;naturbelassen;2
3;18;friedlich;3
1;18;idyllisch;3
11;1;verlassen;3
18;1;ruhig;3
2;1;erleuchtet;2
21;2;bunt;2
3;2;stimmungsvoll;3
1;2;nächtlich;3
1;2;festlich;3
4;4;Steg;2
12;4;Hafen;2
22;4;Sonnenuntergang;2
19;4;romantisch;3
1;4;weitläufig;3
2;4;maritim;3
1;5;nichtssagend;3
1;5;naturnah;3
2;5;leer;3
2;5;Wandern;2
8;5;grün;2
22;6;bunt;2
10;6;Zellen;2
10;6;Kreise;2
1;6;unterschiedlich;2
9;6;unruhig;3
5;6;lebendig;3
3;7;sommerlich;3
1;7;naturnah;3
6;7;zweisam;3
2;7;Picknick;2
2;7;hell;3
5;8;unruhig;3
1;8;farblos;2
